Country,Sub-Region,Code,Year,Population,GDP PER CAPITA (USD),GDP PER CAPITA PPP (USD),Area (Km2),Transportation (Mt),Total CO2 Emission including LUCF (Mt),Total CO2 Emission excluding LUCF (Mt),Other Fuel Combustion (Mt),Manufacturing/Construction (Mt),Land-Use Change and Forestry (Mt),Industrial Processes (Mt),Energy (Mt),Electricity/Heat (Mt),Bunker Fuels (Mt),Building (Mt)
Sao Tome and Principe,Middle Africa,STP,0.8000000000000114,0.0005930526276787071,0.07993815370991617,0.10481949722303417,0.0002150096019424774,0.0003364737550471062,0.017428664072632948,0.00017847183491355272,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00018044841430955925,0.00016048788316482107,0.002028397565922921,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.8500000000000085,0.000609398658436501,0.08587252004381116,0.10701731949722301,0.0002150096019424774,0.0003364737550471062,0.017444876783398188,0.00017847183491355272,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.00018044841430955925,0.00019258545979778524,0.002704530087897228,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.9000000000000057,0.0006252836965524771,0.09322385945572427,0.11153445629932765,0.0002150096019424774,0.0003364737550471062,0.017444876783398188,0.00020078081427774686,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.0002030044660982542,0.00019258545979778524,0.002704530087897228,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,0.9500000000000028,0.0006409142283141163,0.09530651098369441,0.11460099386144398,0.0002150096019424774,0.0003364737550471062,0.017461089494163428,0.00020078081427774686,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.0002030044660982542,0.00019258545979778524,0.002704530087897228,0.00029437739181630853
Sao Tome and Principe,Middle Africa,STP,1.0,0.0006603239393373254,0.10389700525754256,0.11770894231706128,0.0002150096019424774,0.0003364737550471062,0.017461089494163428,0.00020078081427774686,0.0,0.0004909983633387889,0.04019418405966049,0.0,0.0002030044660982542,0.00019258545979778524,0.002704530087897228,0.00029437739181630853
Senegal,Western Africa,SEN,0.0,0.046210459448604586,0.025795293237943065,0.0486017733606158,0.08242174721337897,0.019515477792732164,0.03138780804150454,0.00894590072504183,0.0,0.008183306055646482,0.04765174621931939,0.023663453111305875,0.007826949970677134,0.004814636494944631,0.07167004732927654,0.010303208713570797
Senegal,Western Africa,SEN,0.05000000000001137,0.04733288049129753,0.027578541444816064,0.05115128373769851,0.08242174721337897,0.019515477792732164,0.03441958495460441,0.009838259899609594,0.0,0.010638297872340427,0.050015170629660974,0.027169149868536375,0.00854874362791537,0.005296100144439094,0.060851926977687626,0.010597586105387106
Senegal,Western Africa,SEN,0.10000000000000853,0.048499398361384366,0.029268067799907392,0.05064186884926434,0.08242174721337897,0.02136608344549125,0.03463035019455253,0.010105967651979924,0.0,0.011783960720130934,0.050015170629660974,0.028921998247151623,0.00872919204222493,0.004943026801476488,0.050033806626098715,0.011186340889019724
Senegal,Western Africa,SEN,0.15000000000000568,0.04971696636454585,0.036977070062403555,0.053852735554905974,0.08242174721337897,0.02355316285329744,0.03448443579766537,0.009905186837702177,0.0,0.009656301145662847,0.050015170629660974,0.02979842243645925,0.008481075472549286,0.004493660728614989,0.06355645706558485,0.012069473064468648
Senegal,Western Africa,SEN,0.20000000000000284,0.05098559410479536,0.04211961339989442,0.05705111809412452,0.08242174721337897,0.025403768506056523,0.03594357976653697,0.011912994980479643,0.0,0.015057283142389527,0.050015170629660974,0.04163014899211218,0.009902106735237066,0.005071417108008345,0.068289384719405,0.012658227848101266
Senegal,Western Africa,SEN,0.25,0.05230790347778323,0.04522611283300387,0.060461122478807354,0.08242174721337897,0.024394347240915205,0.036397535667963686,0.012537646402677079,0.0,0.012765957446808512,0.050015170629660974,0.0455740578439965,0.010330671719222268,0.006226929866795057,0.07505070993914807,0.012952605239917574
Senegal,Western Africa,SEN,0.30000000000001137,0.05369726807212887,0.04701898652735715,0.06249665058949625,0.08242174721337897,0.025908479138627184,0.03623540856031129,0.012314556609035139,0.0,0.009656301145662847,0.050015170629660974,0.04951796669588081,0.009902106735237066,0.006002246830364308,0.07099391480730223,0.012363850456284957
Senegal,Western Africa,SEN,0.3500000000000085,0.055140184645032356,0.05571181493125882,0.06465123501900027,0.08242174721337897,0.033983849259757726,0.03725680933852141,0.013720022308979367,0.0,0.013911620294599018,0.050015170629660974,0.053461875547765124,0.01112013353182659,0.005552880757502808,0.08519269776876268,0.010891963497203415
Senegal,Western Africa,SEN,0.4000000000000057,0.05662429283128494,0.06631808892531937,0.06692913865341517,0.08242174721337897,0.03667563930013458,0.037645914396887165,0.014255437813720025,0.0,0.014238952536824879,0.050015170629660974,0.052147239263803685,0.011729146930121353,0.005841758947199486,0.08316430020283976,0.010891963497203415
Senegal,Western Africa,SEN,0.45000000000000284,0.0581710191847178,0.061476975327342566,0.06747082967943095,0.08242174721337897,0.032637954239569306,0.03801880674448768,0.014768544339096489,0.0,0.015220949263502457,0.050015170629660974,0.056091148115687994,0.01204493165516308,0.006804686246188412,0.05611899932386748,0.011186340889019724
Senegal,Western Africa,SEN,0.5,0.059780133209010024,0.059583793921352664,0.0689436568254896,0.08242174721337897,0.034488559892328394,0.03860246433203632,0.015571667596207477,0.003456221198156682,0.014893617021276598,0.050015170629660974,0.06879929886064856,0.012202824017683946,0.006772588669555448,0.060851926977687626,0.01000883132175449
Senegal,Western Africa,SEN,0.5500000000000114,0.061440470238617574,0.06449481895471257,0.06948473886777744,0.08242174721337897,0.036843876177658136,0.036397535667963686,0.016776352481873955,0.003456221198156682,0.020130932896890344,0.0469810446974657,0.07843996494303243,0.012924617674922183,0.006419515326592842,0.06220419202163624,0.009420076538121873
Senegal,Western Africa,SEN,0.6000000000000085,0.06314975892437817,0.062022081881488965,0.0716889554711098,0.08242174721337897,0.035161507402422604,0.03621919584954605,0.016508644729503627,0.003456221198156682,0.018003273322422263,0.0469810446974657,0.07843996494303243,0.012653945053457844,0.006836783822821376,0.05747126436781609,0.008831321754489255
Senegal,Western Africa,SEN,0.6500000000000057,0.06489640722215276,0.06489959603348858,0.07185520802884146,0.08242174721337897,0.03903095558546433,0.03711089494163425,0.017757947573898494,0.003456221198156682,0.018003273322422263,0.0469810446974657,0.08851884312007012,0.013398294762484777,0.007125662012518055,0.0676132521974307,0.009125699146305564
Senegal,Western Africa,SEN,0.7000000000000028,0.06669592081152916,0.0661944774018884,0.07465683766929745,0.08242174721337897,0.041049798115746966,0.03801880674448768,0.019007250418293365,0.003456221198156682,0.023567921440261867,0.0469810446974657,0.08326029798422437,0.01493210628411603,0.007799711121810303,0.060851926977687626,0.009714453929938182
Senegal,Western Africa,SEN,0.75,0.068548885537323,0.05712828140467272,0.07907897300984115,0.08242174721337897,0.0455921938088829,0.039186121919584954,0.020613496932515338,0.003456221198156682,0.02684124386252046,0.0469810446974657,0.07843996494303243,0.016804258582577707,0.008858931150698121,0.08451656524678837,0.010303208713570797
Senegal,Western Africa,SEN,0.8000000000000114,0.07044651852930632,0.059794034832106165,0.08240037026210657,0.08242174721337897,0.049629878869448175,0.04032101167315176,0.022487451199107646,0.003456221198156682,0.028314238952536826,0.046757477523514474,0.0876424189307625,0.018247845897054183,0.009693468143155191,0.07505070993914807,0.011480718280836032
Senegal,Western Africa,SEN,0.8500000000000085,0.07239823172058292,0.06457891531901397,0.08644280424827047,0.08242174721337897,0.04020861372812919,0.03978599221789884,0.02175125488008924,0.0,0.015875613747954175,0.046757477523514474,0.0880806310254163,0.01745838408444986,0.013063713689616435,0.04056795131845842,0.01000883132175449
Senegal,Western Africa,SEN,0.9000000000000057,0.07440122554125507,0.06959582071465698,0.09224824612686347,0.08242174721337897,0.04155450874831762,0.04040207522697795,0.022598996095928612,0.0,0.018657937806873977,0.046757477523514474,0.09202453987730062,0.01811250958632201,0.012614347616754935,0.0872210953346856,0.015307624374448043
Senegal,Western Africa,SEN,0.9500000000000028,0.07644626573246636,0.06850408779255149,0.09608849751534636,0.08242174721337897,0.050134589502018836,0.043839169909208824,0.027328499721137763,0.0,0.015384615384615385,0.046757477523514474,0.11524978089395267,0.021698921820724502,0.016754935002407316,0.08316430020283976,0.015013246982631734
Senegal,Western Africa,SEN,1.0,0.07853676652097027,0.07001376951314284,0.09602912160187077,0.08242174721337897,0.0481157469717362,0.041212710765239954,0.023714445064138317,0.0,0.021440261865793783,0.046757477523514474,0.11875547765118318,0.017864393016646368,0.010463809982346332,0.08045977011494253,0.015896379158080662
Sierra Leone,Western Africa,SLE,0.0,0.021623128776844285,0.0014311580069364307,0.008010571957517294,0.02993672754545962,0.0025235531628532972,0.02284370946822309,0.0006246514221974345,0.0,0.0006546644844517185,0.04519250730585586,0.0,0.0006315694500834574,0.00019258545979778524,0.002704530087897228,0.00206064174271416
Sierra Leone,Western Africa,SLE,0.05000000000001137,0.0229342158602079,0.0056152054332330595,0.006009146935593882,0.02993672754545962,0.0018506056527590844,0.023022049286640728,0.0008700501952035695,0.0,0.0006546644844517185,0.04519250730585586,0.0,0.0008796860197591014,0.00032097576632964214,0.002028397565922921,0.005298793052693553
Sierra Leone,Western Africa,SLE,0.10000000000000853,0.02429326538634732,0.006588392877949832,0.010037574296014809,0.02993672754545962,0.002355316285329744,0.023103112840466927,0.001003904071388734,0.0,0.001309328968903437,0.04519250730585586,0.0,0.0010150223304912708,0.00032097576632964214,0.002028397565922921,0.005004415660877245
